org_id remap_id
nghệan 0
tiềngiang 1
bìnhthuận 2
tâyninh 3
càmau 4
khánhhoà 5
đồngnai 6
bìnhdương 7
bếntre 8
lâmđồng 9
"hồ chí minh" 10
tràvinh 11
hồchíminh 12
thanhhóa 13
đồngtháp 14
đắklắk 15
thừathiênhuế 16
gialai 17
hàtĩnh 18
minhhải 19
longan 20
namđịnh 21
bìnhđịnh 22
phúyên 23
bàrịa-vũngtàu 24
đăklăk 25
quảngnam 26
angiang 27
kiêngiang 28
bìnhđịnh 29
quảngngãi 30
ninhthuận 31
thànhphốcầnthơ 32
bìnhphước 33
kontum 34
sóctrăng 35
quảngnam 36
quảngbình 37
quảngtrị 38
vĩnhlong 39
khánhhòa 40
lâmđồng 41
tỉnhthanhhóa 42
namđịnh 43
bìnhthuận 44
ninhbình 45
bắcgiang 46
không 47
sôngbé 48
vĩnhphúc 49
hànội 50
bạcliêu 51
quãngngãi 52
hậugiang 53
tháinguyên 54
tháibình 55
bắcninh 56
thànhphốđànẵng 57
nghệan 58
thanhhoá 59
tháibình 60
thànhphốhảiphòng 61
tiềngiang 62
bắccạn 63
quảngninh 64
hànam 65
hàtĩnh 66
hảiphòng 67
thànhphốhànội 68
đànẵng 69
khánhhòa 70
hànamninh 71
tỉnhđăklăk 72
hảidương 73
hưngyên 74
quảngngãi 75
australia 76
vĩnhlong 77
hàtây 78
phúyên 79
liênbangnga 80
bìnhdương 81
lạngsơn 82
cầnthơ 83
hồchíminh 84
đồngnai 85
đăknông 86
tỉnhđồngnai 87
vũngtàu 88
đắknông 89
đắcnông 90
caobằng 91
hòabình 92
buônmathuột 93
đồngtháp 94
longhồ 95
bàrịavũngtàu 96
hảihưng 97
laichâu 98
quảngtrị 99
bạcliêu 100
bếntre 101
tỉnhnghệan 102
phúthọ 103
tỉnhkhánhhòa 104
yênbái 105
campuchia 106
nghĩasơn-nghĩahưng-namđịnh 107
thànhphốhồchíminh 108
tuyênquang 109
tỉnhbìnhdương 110
quậnthủđức 111
sóctrăng 112
tỉnhninhthuận 113
nhatrang 114
cộnghoàséc 115
tỉnhtâyninh 116
đàlạt 117
hàsơnbình 118
