original_value remap_id
7.5 0
5.0 1
8.0 2
6.5 3
4.5 4
9.0 5
10.0 6
6.0 7
5.5 8
7.0 9
8.5 10
7.8 11
8.9 12
9.5 13
8.1 14
8.6 15
8.8 16
9.1 17
9.4 18
8.2 19
6.2 20
7.7 21
8.4 22
8.3 23
9.2 24
7.4 25
2.0 26
0.0 27
4.7 28
5.6 29
3.0 30
0.4 31
0.9 32
2.3 33
0.7 34
4.8 35
6.3951587821138 36
2.5 37
3.5 38
6.3 39
6.4 40
7.9 41
5.8 42
6.6 43
6.9 44
5.1 45
3.1 46
6.8 47
8.7 48
4.3 49
7.6 50
9.3 51
4.0 52
1.2 53
9.8 54
7.3 55
5.3 56
4.6 57
5.4 58
5.9 59
7.2 60
5.2 61
7.1 62
3.3 63
4.9 64
6.7 65
2.7 66
0.8 67
1.9 68
2.8 69
0.5 70
4.2 71
1.8 72
5.7 73
4.4 74
4.1 75
1.0 76
0.2 77
1.5 78
6.1 79
1.6 80
3.7 81
1.7 82
3.6 83
2.1 84
0.3 85
3.9 86
1.4 87
3.4 88
3.8 89
9.9 90
2.9 91
9.7 92
2.6 93
3.2 94
2.4 95
1.3 96
9.6 97
1.1 98
0.6 99
2.2 100
0.1 101
cnpm 102
httt 103
khmt 104
mmt&tt 105
ktmt 106
kttt 107
